:START_ID,:END_ID,degree:float,:TYPE
p_3979,p_9750,46,RELATIVE_WITH
p_4363,p_6608,75,RELATIVE_WITH
p_6542,p_3706,80,RELATIVE_WITH
p_7649,p_394,92,RELATIVE_WITH
p_7361,p_1290,50,RELATIVE_WITH
p_4081,p_7285,97,RELATIVE_WITH
p_2136,p_4822,25,RELATIVE_WITH
p_2021,p_8902,87,RELATIVE_WITH
p_2655,p_4235,50,RELATIVE_WITH
p_413,p_4482,72,RELATIVE_WITH
p_1421,p_8473,73,RELATIVE_WITH
p_2581,p_9799,62,RELATIVE_WITH
p_6375,p_3969,23,RELATIVE_WITH
p_7370,p_9640,67,RELATIVE_WITH
p_4715,p_9678,31,RELATIVE_WITH
p_3215,p_4264,54,RELATIVE_WITH
p_6468,p_9893,5,RELATIVE_WITH
p_6783,p_8463,47,RELATIVE_WITH
p_4939,p_334,90,RELATIVE_WITH
p_8615,p_7489,69,RELATIVE_WITH
p_1289,p_4202,0,RELATIVE_WITH
p_7709,p_7008,0,RELATIVE_WITH
p_7885,p_1134,95,RELATIVE_WITH
p_2120,p_6604,65,RELATIVE_WITH
p_4428,p_5411,69,RELATIVE_WITH
p_167,p_9635,28,RELATIVE_WITH
p_7183,p_8736,35,RELATIVE_WITH
p_3261,p_9762,74,RELATIVE_WITH
p_5242,p_9113,13,RELATIVE_WITH
p_2318,p_4124,62,RELATIVE_WITH
p_4067,p_7030,70,RELATIVE_WITH
p_7353,p_9507,52,RELATIVE_WITH
p_2382,p_9348,88,RELATIVE_WITH
p_78,p_1399,11,RELATIVE_WITH
p_3097,p_4637,4,RELATIVE_WITH
p_9314,p_4013,4,RELATIVE_WITH
p_8769,p_2146,15,RELATIVE_WITH
p_1277,p_6405,5,RELATIVE_WITH
p_4817,p_886,56,RELATIVE_WITH
p_6399,p_4275,53,RELATIVE_WITH
p_8213,p_5213,97,RELATIVE_WITH
p_8869,p_1033,74,RELATIVE_WITH
p_4739,p_7968,99,RELATIVE_WITH
p_377,p_2423,30,RELATIVE_WITH
p_3745,p_8798,75,RELATIVE_WITH
p_8674,p_4570,70,RELATIVE_WITH
p_7283,p_4276,95,RELATIVE_WITH
p_1853,p_3874,25,RELATIVE_WITH
p_9114,p_3482,76,RELATIVE_WITH
p_2942,p_5338,62,RELATIVE_WITH
p_2022,p_6230,73,RELATIVE_WITH
p_183,p_7763,8,RELATIVE_WITH
p_9080,p_692,80,RELATIVE_WITH
p_6087,p_6447,74,RELATIVE_WITH
p_7985,p_976,4,RELATIVE_WITH
p_7533,p_5403,4,RELATIVE_WITH
p_2599,p_4559,96,RELATIVE_WITH
p_4055,p_4302,54,RELATIVE_WITH
p_7893,p_6309,91,RELATIVE_WITH
p_3791,p_1778,73,RELATIVE_WITH
p_7426,p_9465,57,RELATIVE_WITH
p_6315,p_6562,22,RELATIVE_WITH
p_5419,p_4060,32,RELATIVE_WITH
p_9845,p_2793,62,RELATIVE_WITH
p_3572,p_3527,97,RELATIVE_WITH
p_8851,p_5267,47,RELATIVE_WITH
p_812,p_8308,69,RELATIVE_WITH
p_6175,p_4194,39,RELATIVE_WITH
p_269,p_6406,82,RELATIVE_WITH
p_2024,p_9234,88,RELATIVE_WITH
p_9418,p_9586,73,RELATIVE_WITH
p_8298,p_6212,23,RELATIVE_WITH
p_5551,p_8487,66,RELATIVE_WITH
p_4,p_1757,36,RELATIVE_WITH
p_5649,p_7289,83,RELATIVE_WITH
p_2286,p_7757,40,RELATIVE_WITH
p_1131,p_609,55,RELATIVE_WITH
p_6102,p_881,92,RELATIVE_WITH
p_7175,p_2297,16,RELATIVE_WITH
p_2666,p_5820,60,RELATIVE_WITH
p_7528,p_8246,92,RELATIVE_WITH
p_3558,p_1275,77,RELATIVE_WITH
p_3165,p_151,48,RELATIVE_WITH
p_2688,p_6684,74,RELATIVE_WITH
p_5584,p_3805,71,RELATIVE_WITH
p_5011,p_6094,70,RELATIVE_WITH
p_5430,p_8258,48,RELATIVE_WITH
p_304,p_672,93,RELATIVE_WITH
p_1136,p_4780,49,RELATIVE_WITH
p_4123,p_8009,99,RELATIVE_WITH
p_3052,p_2745,55,RELATIVE_WITH
p_1525,p_6891,53,RELATIVE_WITH
p_1691,p_2204,91,RELATIVE_WITH
p_5650,p_6633,76,RELATIVE_WITH
p_8106,p_1828,39,RELATIVE_WITH
p_4047,p_8334,28,RELATIVE_WITH
p_8042,p_1762,21,RELATIVE_WITH
p_4483,p_6216,82,RELATIVE_WITH
p_0,p_1084,63,RELATIVE_WITH
p_6653,p_52,2,RELATIVE_WITH
p_8067,p_8666,99,RELATIVE_WITH
p_2705,p_237,81,RELATIVE_WITH
p_3528,p_1580,62,RELATIVE_WITH
p_8545,p_3989,96,RELATIVE_WITH
p_2075,p_4481,16,RELATIVE_WITH
p_9563,p_4345,66,RELATIVE_WITH
p_9399,p_8251,82,RELATIVE_WITH
p_3074,p_2268,37,RELATIVE_WITH
p_7225,p_846,73,RELATIVE_WITH
p_4177,p_6109,90,RELATIVE_WITH
p_6528,p_5450,97,RELATIVE_WITH
p_7154,p_5,37,RELATIVE_WITH
p_4721,p_1903,37,RELATIVE_WITH
p_9150,p_42,26,RELATIVE_WITH
p_8790,p_2806,74,RELATIVE_WITH
p_9866,p_1214,16,RELATIVE_WITH
p_3526,p_8930,38,RELATIVE_WITH
p_13,p_4303,40,RELATIVE_WITH
p_9114,p_6352,48,RELATIVE_WITH
p_1218,p_2678,13,RELATIVE_WITH
p_5423,p_2741,33,RELATIVE_WITH
p_2530,p_8050,97,RELATIVE_WITH
p_7446,p_9824,71,RELATIVE_WITH
p_6073,p_9119,11,RELATIVE_WITH
p_4324,p_3043,4,RELATIVE_WITH
p_6595,p_6895,38,RELATIVE_WITH
p_2706,p_4082,87,RELATIVE_WITH
p_8134,p_3720,43,RELATIVE_WITH
p_7167,p_1139,85,RELATIVE_WITH
p_8340,p_2173,75,RELATIVE_WITH
p_6296,p_4064,36,RELATIVE_WITH
p_8248,p_1212,27,RELATIVE_WITH
p_1187,p_7354,23,RELATIVE_WITH
p_4505,p_6758,23,RELATIVE_WITH
p_310,p_5194,74,RELATIVE_WITH
p_9437,p_8201,59,RELATIVE_WITH
p_9823,p_9937,60,RELATIVE_WITH
p_1780,p_9567,32,RELATIVE_WITH
p_7296,p_5903,8,RELATIVE_WITH
p_7095,p_6730,95,RELATIVE_WITH
p_8078,p_7299,7,RELATIVE_WITH
p_227,p_4657,61,RELATIVE_WITH
p_2143,p_9115,18,RELATIVE_WITH
p_3339,p_3329,29,RELATIVE_WITH
p_6021,p_3781,42,RELATIVE_WITH
p_78,p_4402,31,RELATIVE_WITH
p_5467,p_785,82,RELATIVE_WITH
p_9868,p_1044,95,RELATIVE_WITH
p_9517,p_5990,1,RELATIVE_WITH
p_7227,p_9939,41,RELATIVE_WITH
p_3838,p_836,3,RELATIVE_WITH
p_9960,p_6632,11,RELATIVE_WITH
p_3237,p_8383,18,RELATIVE_WITH
p_3270,p_7572,78,RELATIVE_WITH
p_4367,p_2644,69,RELATIVE_WITH
p_6816,p_8253,72,RELATIVE_WITH
p_3269,p_8890,86,RELATIVE_WITH
p_3639,p_9636,3,RELATIVE_WITH
p_8805,p_1428,18,RELATIVE_WITH
p_6980,p_8308,29,RELATIVE_WITH
p_1562,p_9825,25,RELATIVE_WITH
p_8480,p_3649,11,RELATIVE_WITH
p_8718,p_7228,20,RELATIVE_WITH
p_9784,p_6489,51,RELATIVE_WITH
p_1987,p_4616,89,RELATIVE_WITH
p_4229,p_6522,94,RELATIVE_WITH
p_939,p_7841,28,RELATIVE_WITH
p_1001,p_4648,69,RELATIVE_WITH
p_4919,p_3872,86,RELATIVE_WITH
p_8967,p_3891,27,RELATIVE_WITH
p_2404,p_8816,65,RELATIVE_WITH
p_2118,p_9657,5,RELATIVE_WITH
p_7299,p_4690,0,RELATIVE_WITH
p_5918,p_4918,5,RELATIVE_WITH
p_9548,p_9490,9,RELATIVE_WITH
p_976,p_4505,16,RELATIVE_WITH
p_5487,p_3130,86,RELATIVE_WITH
p_922,p_8347,83,RELATIVE_WITH
p_6450,p_5111,86,RELATIVE_WITH
p_277,p_540,7,RELATIVE_WITH
p_1027,p_6819,12,RELATIVE_WITH
p_3616,p_5960,90,RELATIVE_WITH
p_2685,p_8081,97,RELATIVE_WITH
p_2682,p_3455,49,RELATIVE_WITH
p_7595,p_6912,59,RELATIVE_WITH
p_4100,p_1533,24,RELATIVE_WITH
p_5030,p_7500,13,RELATIVE_WITH
p_9336,p_4926,96,RELATIVE_WITH
p_6042,p_4548,86,RELATIVE_WITH
p_9110,p_1673,62,RELATIVE_WITH
p_5216,p_1427,42,RELATIVE_WITH
p_9950,p_6725,72,RELATIVE_WITH
p_8464,p_300,87,RELATIVE_WITH
p_2237,p_7454,46,RELATIVE_WITH
p_3817,p_9882,12,RELATIVE_WITH
p_207,p_3750,97,RELATIVE_WITH
p_4158,p_1477,83,RELATIVE_WITH
p_936,p_4887,69,RELATIVE_WITH
p_7886,p_7148,14,RELATIVE_WITH
p_2939,p_5984,23,RELATIVE_WITH
p_9785,p_3447,50,RELATIVE_WITH
p_7954,p_9811,6,RELATIVE_WITH
p_7892,p_5939,62,RELATIVE_WITH
p_6305,p_3706,4,RELATIVE_WITH
p_2,p_6371,20,RELATIVE_WITH
p_6166,p_4862,2,RELATIVE_WITH
p_72,p_772,52,RELATIVE_WITH
p_8951,p_2061,19,RELATIVE_WITH
p_1493,p_7524,19,RELATIVE_WITH
p_9442,p_3259,72,RELATIVE_WITH
p_3011,p_42,30,RELATIVE_WITH
p_1150,p_6593,96,RELATIVE_WITH
p_3691,p_5946,86,RELATIVE_WITH
p_5188,p_2961,13,RELATIVE_WITH
p_3807,p_3787,88,RELATIVE_WITH
p_3174,p_367,97,RELATIVE_WITH
p_9761,p_1217,55,RELATIVE_WITH
p_2844,p_1195,45,RELATIVE_WITH
p_2671,p_4759,21,RELATIVE_WITH
p_9204,p_8606,95,RELATIVE_WITH
p_945,p_2327,8,RELATIVE_WITH
p_40,p_5496,19,RELATIVE_WITH
p_8830,p_4424,3,RELATIVE_WITH
p_9618,p_4065,75,RELATIVE_WITH
p_1207,p_7738,35,RELATIVE_WITH
p_5837,p_7843,12,RELATIVE_WITH
p_728,p_5773,96,RELATIVE_WITH
p_981,p_7670,12,RELATIVE_WITH
p_3751,p_2418,52,RELATIVE_WITH
p_4021,p_5718,85,RELATIVE_WITH
p_9235,p_7412,97,RELATIVE_WITH
p_8074,p_8933,79,RELATIVE_WITH
p_7646,p_4729,8,RELATIVE_WITH
p_3502,p_4356,98,RELATIVE_WITH
p_9942,p_6155,21,RELATIVE_WITH
p_8580,p_612,89,RELATIVE_WITH
p_8601,p_8409,26,RELATIVE_WITH
p_3129,p_2155,15,RELATIVE_WITH
p_8515,p_9919,36,RELATIVE_WITH
p_5760,p_9321,46,RELATIVE_WITH
p_2439,p_9330,47,RELATIVE_WITH
p_880,p_6897,14,RELATIVE_WITH
p_6524,p_4778,78,RELATIVE_WITH
p_4006,p_3350,94,RELATIVE_WITH
p_4330,p_1100,27,RELATIVE_WITH
p_2857,p_7077,17,RELATIVE_WITH
p_4645,p_4850,68,RELATIVE_WITH
p_8490,p_7054,17,RELATIVE_WITH
p_7120,p_1898,46,RELATIVE_WITH
p_1073,p_872,64,RELATIVE_WITH
p_9595,p_7361,16,RELATIVE_WITH
p_1315,p_4054,6,RELATIVE_WITH
p_3671,p_2729,3,RELATIVE_WITH
p_6222,p_3473,8,RELATIVE_WITH
p_2141,p_7136,33,RELATIVE_WITH
p_3307,p_5283,10,RELATIVE_WITH
p_2019,p_9023,99,RELATIVE_WITH
p_3170,p_7887,21,RELATIVE_WITH
p_3440,p_2313,54,RELATIVE_WITH
p_7969,p_6717,78,RELATIVE_WITH
p_6415,p_6434,84,RELATIVE_WITH
p_1790,p_181,15,RELATIVE_WITH
p_5962,p_9801,47,RELATIVE_WITH
p_7374,p_9057,53,RELATIVE_WITH
p_494,p_2045,77,RELATIVE_WITH
p_7737,p_9490,18,RELATIVE_WITH
p_3324,p_4191,60,RELATIVE_WITH
p_8652,p_7349,56,RELATIVE_WITH
p_9571,p_3096,11,RELATIVE_WITH
p_810,p_529,15,RELATIVE_WITH
p_8236,p_707,55,RELATIVE_WITH
p_3758,p_9601,25,RELATIVE_WITH
p_3322,p_6249,58,RELATIVE_WITH
p_967,p_4356,64,RELATIVE_WITH
p_3814,p_3341,91,RELATIVE_WITH
p_6222,p_2951,38,RELATIVE_WITH
p_3139,p_2404,65,RELATIVE_WITH
p_9428,p_4581,92,RELATIVE_WITH
p_74,p_8111,84,RELATIVE_WITH
p_3380,p_1947,15,RELATIVE_WITH
p_4114,p_7296,96,RELATIVE_WITH
p_2848,p_600,29,RELATIVE_WITH
p_4904,p_1663,38,RELATIVE_WITH
p_2776,p_6074,11,RELATIVE_WITH
p_415,p_7088,91,RELATIVE_WITH
p_3483,p_8501,73,RELATIVE_WITH
p_3515,p_4607,54,RELATIVE_WITH
p_3286,p_9387,58,RELATIVE_WITH
p_1677,p_1743,52,RELATIVE_WITH
p_3504,p_3451,95,RELATIVE_WITH
p_6660,p_333,49,RELATIVE_WITH
p_2016,p_4184,20,RELATIVE_WITH
p_6495,p_8887,58,RELATIVE_WITH
p_2770,p_1736,37,RELATIVE_WITH
p_2534,p_1851,73,RELATIVE_WITH
p_2878,p_9101,28,RELATIVE_WITH
p_1446,p_4612,24,RELATIVE_WITH
p_619,p_584,81,RELATIVE_WITH
p_3650,p_9298,59,RELATIVE_WITH
p_4,p_7852,18,RELATIVE_WITH
p_7285,p_6093,73,RELATIVE_WITH
p_7815,p_3531,9,RELATIVE_WITH
p_1066,p_9392,76,RELATIVE_WITH
p_4311,p_9088,24,RELATIVE_WITH
p_7303,p_2851,16,RELATIVE_WITH
p_6158,p_7786,41,RELATIVE_WITH
p_3877,p_2112,27,RELATIVE_WITH
p_9651,p_1542,77,RELATIVE_WITH
p_4808,p_5526,70,RELATIVE_WITH
p_5703,p_3519,48,RELATIVE_WITH
p_8081,p_5619,10,RELATIVE_WITH
p_2807,p_7452,90,RELATIVE_WITH
p_7509,p_8633,88,RELATIVE_WITH
p_7442,p_3672,30,RELATIVE_WITH
p_8455,p_1931,62,RELATIVE_WITH
p_8121,p_6296,77,RELATIVE_WITH
p_2443,p_4297,52,RELATIVE_WITH
p_4548,p_3669,24,RELATIVE_WITH
p_6974,p_2959,64,RELATIVE_WITH
p_3527,p_4863,57,RELATIVE_WITH
p_9591,p_5709,39,RELATIVE_WITH
p_9492,p_6476,28,RELATIVE_WITH
p_2329,p_5541,44,RELATIVE_WITH
p_59,p_6119,20,RELATIVE_WITH
p_7549,p_6721,39,RELATIVE_WITH
p_9532,p_6453,76,RELATIVE_WITH
p_7068,p_1968,85,RELATIVE_WITH
p_5459,p_5137,28,RELATIVE_WITH
p_8659,p_3346,56,RELATIVE_WITH
p_1555,p_8010,3,RELATIVE_WITH
p_400,p_3361,23,RELATIVE_WITH
p_512,p_8366,10,RELATIVE_WITH
p_2785,p_9248,83,RELATIVE_WITH
p_2663,p_3043,95,RELATIVE_WITH
p_9598,p_4215,42,RELATIVE_WITH
p_1903,p_2812,92,RELATIVE_WITH
p_675,p_3007,18,RELATIVE_WITH
p_7616,p_7086,38,RELATIVE_WITH
p_6833,p_6615,64,RELATIVE_WITH
p_6415,p_2582,64,RELATIVE_WITH
p_736,p_2520,14,RELATIVE_WITH
p_3870,p_9612,94,RELATIVE_WITH
p_5115,p_6035,24,RELATIVE_WITH
p_2212,p_89,16,RELATIVE_WITH
p_4298,p_1890,13,RELATIVE_WITH
p_8238,p_4442,62,RELATIVE_WITH
p_6489,p_5912,90,RELATIVE_WITH
p_9775,p_1784,45,RELATIVE_WITH
p_7867,p_8275,55,RELATIVE_WITH
p_5394,p_8723,50,RELATIVE_WITH
p_3173,p_9391,82,RELATIVE_WITH
p_511,p_6900,16,RELATIVE_WITH
p_5987,p_8355,98,RELATIVE_WITH
p_8660,p_2679,68,RELATIVE_WITH
p_1360,p_4084,44,RELATIVE_WITH
p_7148,p_4788,93,RELATIVE_WITH
p_1903,p_9683,14,RELATIVE_WITH
p_3251,p_7282,5,RELATIVE_WITH
p_9794,p_3117,89,RELATIVE_WITH
p_5697,p_6767,15,RELATIVE_WITH
p_6910,p_3344,86,RELATIVE_WITH
p_5645,p_5894,63,RELATIVE_WITH
p_468,p_1596,21,RELATIVE_WITH
p_352,p_2088,1,RELATIVE_WITH
p_2477,p_5712,19,RELATIVE_WITH
p_4271,p_9220,66,RELATIVE_WITH
p_8421,p_6069,93,RELATIVE_WITH
p_6888,p_6803,60,RELATIVE_WITH
p_5593,p_4745,9,RELATIVE_WITH
p_3255,p_5979,17,RELATIVE_WITH
p_6678,p_5340,1,RELATIVE_WITH
p_8930,p_7122,74,RELATIVE_WITH
p_8776,p_6859,86,RELATIVE_WITH
p_8094,p_2066,59,RELATIVE_WITH
p_6981,p_1691,43,RELATIVE_WITH
p_8066,p_8345,16,RELATIVE_WITH
p_399,p_8047,96,RELATIVE_WITH
p_9091,p_6378,0,RELATIVE_WITH
p_9463,p_5954,81,RELATIVE_WITH
p_5308,p_4715,1,RELATIVE_WITH
p_7678,p_8591,17,RELATIVE_WITH
p_1186,p_7689,74,RELATIVE_WITH
p_1490,p_7812,15,RELATIVE_WITH
p_4862,p_1024,94,RELATIVE_WITH
p_1323,p_1738,29,RELATIVE_WITH
p_8713,p_2673,65,RELATIVE_WITH
p_4066,p_6804,26,RELATIVE_WITH
p_7045,p_6033,6,RELATIVE_WITH
p_1158,p_7894,36,RELATIVE_WITH
p_5373,p_4823,41,RELATIVE_WITH
p_1716,p_4001,73,RELATIVE_WITH
p_9610,p_9628,24,RELATIVE_WITH
p_4672,p_8251,49,RELATIVE_WITH
p_654,p_2242,94,RELATIVE_WITH
p_3821,p_6120,32,RELATIVE_WITH
p_5384,p_3734,24,RELATIVE_WITH
p_5481,p_4206,9,RELATIVE_WITH
p_5639,p_3548,43,RELATIVE_WITH
p_3483,p_2076,45,RELATIVE_WITH
p_9196,p_6899,70,RELATIVE_WITH
p_901,p_856,93,RELATIVE_WITH
p_5917,p_7396,99,RELATIVE_WITH
p_4058,p_3696,37,RELATIVE_WITH
p_2661,p_9983,77,RELATIVE_WITH
p_1973,p_7976,62,RELATIVE_WITH
p_1961,p_8465,55,RELATIVE_WITH
p_4482,p_7521,94,RELATIVE_WITH
p_6346,p_6213,72,RELATIVE_WITH
p_5175,p_1416,80,RELATIVE_WITH
p_631,p_8193,97,RELATIVE_WITH
p_6707,p_7878,30,RELATIVE_WITH
p_6071,p_88,31,RELATIVE_WITH
p_8688,p_3895,74,RELATIVE_WITH
p_1046,p_9543,74,RELATIVE_WITH
p_545,p_7771,41,RELATIVE_WITH
p_3264,p_7694,4,RELATIVE_WITH
p_3673,p_2162,66,RELATIVE_WITH
p_3341,p_9318,46,RELATIVE_WITH
p_7377,p_8557,62,RELATIVE_WITH
p_2628,p_5853,83,RELATIVE_WITH
p_9933,p_1017,40,RELATIVE_WITH
p_1280,p_4213,81,RELATIVE_WITH
p_7970,p_3134,30,RELATIVE_WITH
p_2346,p_3605,26,RELATIVE_WITH
p_5888,p_4869,73,RELATIVE_WITH
p_5250,p_3264,34,RELATIVE_WITH
p_10,p_3085,30,RELATIVE_WITH
p_3895,p_940,19,RELATIVE_WITH
p_4975,p_2754,53,RELATIVE_WITH
p_266,p_7297,50,RELATIVE_WITH
p_9699,p_8578,8,RELATIVE_WITH
p_3484,p_9584,67,RELATIVE_WITH
p_7913,p_5656,96,RELATIVE_WITH
p_2130,p_4110,44,RELATIVE_WITH
p_3485,p_1034,43,RELATIVE_WITH
p_2434,p_2309,54,RELATIVE_WITH
p_6061,p_1277,11,RELATIVE_WITH
p_2402,p_8265,0,RELATIVE_WITH
p_2473,p_6598,5,RELATIVE_WITH
p_3585,p_5464,7,RELATIVE_WITH
p_3995,p_243,64,RELATIVE_WITH
p_3402,p_7185,39,RELATIVE_WITH
p_8774,p_6368,84,RELATIVE_WITH
p_9227,p_4339,74,RELATIVE_WITH
p_1697,p_8158,73,RELATIVE_WITH
p_7775,p_1885,98,RELATIVE_WITH
p_5606,p_7425,92,RELATIVE_WITH
p_4508,p_9710,52,RELATIVE_WITH
p_7958,p_394,17,RELATIVE_WITH
p_9783,p_1369,64,RELATIVE_WITH
p_8746,p_2856,99,RELATIVE_WITH
p_2026,p_1808,23,RELATIVE_WITH
p_6,p_1426,81,RELATIVE_WITH
p_3813,p_5156,92,RELATIVE_WITH
p_8008,p_4062,81,RELATIVE_WITH
p_8938,p_5677,13,RELATIVE_WITH
p_7975,p_7730,87,RELATIVE_WITH
p_3586,p_3416,2,RELATIVE_WITH
p_8568,p_8547,47,RELATIVE_WITH
p_4717,p_7673,52,RELATIVE_WITH
p_1172,p_7712,27,RELATIVE_WITH
p_2572,p_6418,62,RELATIVE_WITH
p_5669,p_2944,12,RELATIVE_WITH
p_4965,p_9708,96,RELATIVE_WITH
p_3560,p_9917,79,RELATIVE_WITH
p_7696,p_3285,20,RELATIVE_WITH
p_8013,p_1542,54,RELATIVE_WITH
p_7309,p_3293,32,RELATIVE_WITH
p_7652,p_4000,99,RELATIVE_WITH
p_4301,p_4274,90,RELATIVE_WITH
p_8118,p_7223,5,RELATIVE_WITH
p_6914,p_6347,83,RELATIVE_WITH
p_9584,p_3967,76,RELATIVE_WITH
p_3320,p_4144,71,RELATIVE_WITH
p_6270,p_8636,14,RELATIVE_WITH
p_8099,p_8994,60,RELATIVE_WITH
p_555,p_7950,84,RELATIVE_WITH
p_5267,p_9409,15,RELATIVE_WITH
p_1549,p_1597,35,RELATIVE_WITH
p_3066,p_9701,70,RELATIVE_WITH
p_5949,p_705,88,RELATIVE_WITH
p_9791,p_448,47,RELATIVE_WITH
p_1603,p_8845,52,RELATIVE_WITH
p_7779,p_1650,18,RELATIVE_WITH
p_7403,p_7547,97,RELATIVE_WITH
p_6632,p_4828,67,RELATIVE_WITH
p_6516,p_8601,5,RELATIVE_WITH
p_484,p_3045,25,RELATIVE_WITH
p_7764,p_824,91,RELATIVE_WITH
p_1951,p_6896,48,RELATIVE_WITH
p_1916,p_7246,71,RELATIVE_WITH
p_3649,p_115,13,RELATIVE_WITH
p_1684,p_4510,30,RELATIVE_WITH
p_9272,p_4514,30,RELATIVE_WITH
p_9450,p_5783,74,RELATIVE_WITH
p_6451,p_6418,24,RELATIVE_WITH
p_7445,p_3883,49,RELATIVE_WITH
p_7025,p_566,94,RELATIVE_WITH
p_8065,p_9705,88,RELATIVE_WITH
